series,country_iso3,frequency,as_of,latest_z,anomaly_now,last_anomaly_onset,regime_break_recent,last_regime_break
composite_BGD,BGD,monthly,2026-07-31,-0.46,False,2023-10-31,False,2023-09-01
fx_BGD,BGD,daily,2026-08-30,2.89,False,2026-08-22,False,2023-09-08
em_oas,GLB,daily,2026-08-28,-1.51,False,2025-04-10,False,2025-07-04
composite_IND,IND,monthly,2026-07-31,-0.44,False,2016-09-30,False,2016-08-05
fx_IND,IND,daily,2026-08-30,-0.83,False,2026-03-28,False,2022-01-28
composite_KAZ,KAZ,monthly,2026-07-31,-0.95,False,2023-10-31,False,2015-09-04
fx_KAZ,KAZ,daily,2026-08-29,0.75,False,2025-02-15,False,2015-08-21
composite_KGZ,KGZ,monthly,2026-07-31,-0.48,False,2023-09-30,False,2023-08-04
composite_LAO,LAO,monthly,2026-07-31,-1.65,False,2023-10-31,False,2022-05-06
fx_LAO,LAO,daily,2026-08-29,-1.25,False,2026-04-03,False,2023-11-17
composite_LKA,LKA,monthly,2026-07-31,-0.56,False,2022-05-31,False,2021-08-06
fx_LKA,LKA,daily,2026-08-30,-0.16,False,2026-06-06,False,2015-08-28
composite_MDV,MDV,monthly,2026-07-31,-0.6,False,2021-09-30,False,2017-08-04
fx_MDV,MDV,daily,2026-08-29,21.71,False,2024-06-05,False,2024-04-05
composite_MNG,MNG,monthly,2026-07-31,-0.39,False,2023-09-30,False,2024-11-01
composite_NPL,NPL,monthly,2026-07-31,-0.71,False,2023-10-31,False,2022-08-05
fx_NPL,NPL,daily,2026-08-30,0.01,False,2026-03-31,False,2023-02-10
composite_PAK,PAK,monthly,2026-07-31,-1.31,False,2023-10-31,False,2021-11-05
fx_PAK,PAK,daily,2026-08-30,1.4,False,2023-02-03,False,2023-12-08
composite_TJK,TJK,monthly,2026-07-31,-0.36,False,2023-09-30,False,2019-02-01
composite_UZB,UZB,monthly,2026-07-31,-0.57,False,2023-10-31,False,2023-09-01
fx_UZB,UZB,daily,2026-08-29,-1.21,False,2025-06-14,False,2025-02-21
